Data,24381 - Rendimento m�dio real efetivo de todos os trabalhos - PNADC - R$,28475 - �ndice volume de vendas no varejo - Hiper/supermercado, Prod. aliment�cios, bebidas, fumo - Brasil - Dados dessazonalizados - �ndice,28477 - �ndice volume de vendas no varejo - Tecido, vestu�rio e cal�ado - Brasil - Dados dessazonalizados - �ndice,28478 - �ndice volume de vendas no varejo - M�veis e eletrodom�sticos - Brasil - Dados dessazonalizados - �ndice,28484 - Material de constru��o - Dados dessazonalizados - �ndice,
set/14,2953,0,96,1,131,87,125,48,98,4
out/14,2934,0,97,29,132,3,123,61,99,83
nov/14,2957,0,96,5,135,42,122,94,99,71
dez/14,3070,0,97,23,134,38,121,24,96,93
jan/15,3069,0,97,13,130,1,120,83,97,65
fev/15,3047,0,96,5,126,53,116,48,96,58
mar/15,2933,0,94,51,124,5,110,89,95,22
abr/15,2915,0,95,98,121,73,107,78,93,14
mai/15,2926,0,94,68,123,1,108,18,91,1
jun/15,2908,0,94,49,118,21,105,98,90,15
jul/15,2889,0,93,29,118,82,102,71,88,56
ago/15,2880,0,92,36,116,49,98,43,88,23
set/15,2874,0,93,41,116,34,102,64,86,54
out/15,2872,0,95,54,117,8,104,18,85,34
nov/15,2967,0,92,71,113,85,102,14,84,69
dez/15,3249,0,93,1,114,23,100,14,83,85
jan/16,3245,0,91,88,115,28,91,29,83,1
fev/16,3161,0,92,44,114,78,104,47,82,23
mar/16,2878,0,91,4,107,77,96,4,81,34
abr/16,2871,0,91,47,111,23,95,51,80,29
mai/16,2842,0,91,91,110,35,92,93,81,19
jun/16,2848,0,91,55,109,63,93,9,80,3
jul/16,2874,0,91,5,101,55,91,78,80,33
ago/16,2865,0,91,65,104,96,89,47,78,58
set/16,2858,0,90,36,104,73,88,6,77,29
out/16,2855,0,90,67,104,12,90,8,76,29
nov/16,2966,0,90,33,102,31,92,3,79,21
dez/16,3242,0,88,71,98,3,92,63,83,9
jan/17,3270,0,95,23,114,56,95,69,85,46
fev/17,3200,0,94,4,116,62,98,4,84,56
mar/17,2924,0,88,82,116,72,102,8,85,29
abr/17,2901,0,90,52,121,8,98,93,85,65
mai/17,2881,0,91,14,115,52,104,7,85,46
jun/17,2892,0,91,89,117,3,105,83,86,88
jul/17,2900,0,92,45,115,95,103,5,88,33
ago/17,2913,0,92,23,113,93,104,1,88,29
set/17,2912,0,94,3,114,71,102,44,90,53
out/17,2913,0,93,93,109,6,100,5,88,74
nov/17,3014,0,94,39,111,36,104,64,90,55
dez/17,3292,0,94,87,114,83,101,75,93,41
jan/18,3320,0,98,16,115,31,101,84,90,28
fev/18,3224,0,96,54,112,19,101,44,90,54
mar/18,2965,0,96,32,115,3,102,12,90,11
abr/18,2955,0,97,59,113,75,101,7,92,15
mai/18,2951,0,97,23,113,43,97,45,83,44
jun/18,2950,0,93,99,113,85,106,57,93,52
jul/18,2968,0,95,13,105,67,95,69,88,39
ago/18,2953,0,96,27,116,85,100,42,93,32
set/18,2944,0,95,26,115,55,99,12,91,2
out/18,2934,0,95,56,113,14,99,26,91,43
nov/18,3051,0,96,94,116,23,105,7,91,53
dez/18,3351,0,97,73,115,63,97,44,93,6
jan/19,3377,0,100,2,115,51,100,53,93,9
fev/19,3270,0,98,2,115,69,98,26,92,86
mar/19,2975,0,95,68,115,11,99,44,95,21
abr/19,2941,0,94,87,110,24,104,56,98,5
mai/19,2944,0,94,88,112,19,102,95,93,1
jun/19,2946,0,94,84,112,35,99,45,93,23
jul/19,2972,0,95,86,111,47,102,32,92,97
ago/19,2960,0,97,13,112,83,98,66,92,55
set/19,2970,0,97,57,113,51,106,6,93,91
out/19,2976,0,97,37,113,89,107,53,96,48
nov/19,3085,0,98,25,117,109,15,97,11,
dez/19,3372,0,97,18,118,88,116,95,97,
jan/20,3385,0,96,69,120,16,113,19,96,84
fev/20,3294,0,97,53,120,34,116,41,95,93
mar/20,3022,0,107,88,74,3,82,66,80,13
abr/20,2952,0,99,44,32,41,67,25,78,9
mai/20,2903,0,102,51,40,5,94,17,91,9
jun/20,2906,0,103,4,61,78,123,99,108,75
jul/20,2951,0,103,9,74,66,128,93,114,37
ago/20,3013,0,101,35,105,87,134,3,117,87
set/20,3002,0,101,16,105,61,135,62,119,54
out/20,3007,0,102,19,109,22,131,19,118,56
nov/20,3052,0,99,18,112,2,127,84,115,49
dez/20,3281,0,99,79,104,6,121,2,113,66
jan/21,3271,0,97,18,102,42,108,74,113,17
fev/21,3210,0,98,5,103,48,117,19,115,74
mar/21,2969,0,100,51,66,96,94,52,107,4
abr/21,2963,0,100,26,85,49,112,39,109,29
mai/21,2932,0,98,98,108,48,115,11,112,81
jun/21,2914,0,98,83,101,92,116,83,114,91
jul/21,2883,0,99,54,107,87,113,36,110,16
ago/21,2829,0,98,63,106,14,107,79,108,23
set/21,2782,0,97,2,104,5,104,59,107,45
out/21,2744,0,97,46,106,45,101,32,106,25
nov/21,2794,0,98,92,106,54,99,74,107,7
dez/21,3044,0,98,86,106,16,100,41,105,33
jan/22,3056,0,97,25,106,3,97,21,103,42
fev/22,3011,0,100,22,108,32,100,22,103,87
mar/22,2782,0,100,11,107,9,100,55,105,82
abr/22,2793,0,98,83,108,79,104,86,103,5
mai/22,2815,0,100,64,117,2,100,11,101,91
jun/22,2848,0,100,22,103,38,98,98,100,61
jul/22,2875,0,99,54,90,3,96,8,98,69
ago/22,2900,0,99,65,99,46,98,8,98,3
set/22,2917,0,100,46,94,1,98,26,98,91
out/22,2941,0,101,11,91,28,100,68,93,18
nov/22,3055,0,100,97,87,53,101,59,97,23
dez/22,3298,0,100,6,86,67,101,49,98,59
jan/23,3312,0,101,62,108,75,102,17,101,82
fev/23,3226,0,101,19,102,53,100,98,99,1
mar/23,3005,0,101,26,100,6,101,59,98,59
abr/23,2981,0,104,98,97,12,100,86,97,97
mai/23,2978,0,101,64,94,53,100,29,97,49
jun/23,2984,0,103,16,95,44,101,11,97,75
jul/23,3008,0,103,53,92,21,100,9,98,12
ago/23,3040,0,104,63,91,95,97,88,98,25
set/23,3034,0,106,3,91,11,100,44,95,77
out/23,3045,0,105,16,89,73,100,34,98,19
nov/23,3134,0,105,33,92,36,106,23,98,29
dez/23,,106,19,89,9,98,76,98,67,
